name,family,imgsz,cores,smt,logical_cpus,mAP_50_95,mAP_50,map_ci_low,map_ci_high,AP_armor,AP_base,AP_car,AP_watcher,lat_mean_ms,lat_ci_low,lat_ci_high,lat_p95_ms,fps_mean,decode_mean_ms,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,frames,cpu_model
ssd_small_960,ssd,960,6,0,6,0.119252,0.322221,0.109935,0.131187,0.002555,0.241717,0.159381,0.073354,80.516,79.947,81.188,86.93,12.42,7.606,579.6,96.6,770.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_960,ssd,960,6,0,6,0.104559,0.280884,0.095672,0.117257,0.002612,0.226514,0.140786,0.048325,202.753,201.729,203.801,218.702,4.932,7.646,585.6,97.6,1008.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_tight,classical,960,6,0,6,0.002989,0.011014,0.002511,0.003848,0.011956,0.0,0.0,0.0,25.59,25.206,26.0,32.042,39.078,6.585,165.3,27.6,553.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_strict,classical,960,6,0,6,0.002827,0.00982,0.002325,0.003661,0.011309,0.0,0.0,0.0,25.271,24.903,25.68,31.026,39.571,6.397,162.8,27.1,553.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_balanced,classical,960,6,0,6,0.001646,0.005807,0.001525,0.00188,0.006583,0.0,0.0,0.0,72.026,70.602,73.621,92.034,13.884,6.41,124.8,20.8,553.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_loose,classical,960,6,0,6,0.001027,0.003329,0.00093,0.001158,0.004108,0.0,0.0,0.0,113.524,111.287,115.747,143.587,8.809,6.569,114.7,19.1,551.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_paired,classical,960,6,0,6,0.000562,0.004139,0.000418,0.000677,0.002248,0.0,0.0,0.0,35.517,34.794,36.261,45.36,28.156,6.313,146.0,24.3,546.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_960,yolo,960,6,1,12,0.667869,0.970698,0.661936,0.674907,0.440919,0.866721,0.778234,0.585604,137.589,137.306,137.887,143.673,7.268,7.328,779.7,65.0,847.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_960,yolo,960,6,1,12,0.639937,0.972175,0.634688,0.647046,0.453737,0.846758,0.778502,0.480752,62.792,62.567,62.988,66.651,15.926,7.224,761.2,63.4,769.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_640,yolo,640,6,1,12,0.626319,0.962895,0.621888,0.633595,0.388195,0.86636,0.772192,0.478529,71.338,71.12,71.572,75.186,14.018,7.557,767.0,63.9,792.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_640,yolo,640,6,1,12,0.607257,0.91966,0.601766,0.613353,0.294321,0.854596,0.741077,0.539033,37.372,37.13,37.656,39.94,26.758,7.244,743.4,62.0,728.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_320,yolo,320,6,1,12,0.516929,0.773467,0.511804,0.523745,0.044847,0.843947,0.711499,0.467422,28.624,28.486,28.76,30.425,34.936,7.192,739.2,61.6,751.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_anchor,ssd,960,6,1,12,0.513671,0.820104,0.509073,0.520843,0.09302,0.785195,0.618095,0.558373,97.505,97.009,98.051,108.655,10.256,9.437,1099.3,91.6,769.3,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
